,0
270,"33.772075,-117.301693,2012-09-27T12:00:00"
271,"33.772075,-117.301693,2012-09-28T12:00:00"
272,"33.772075,-117.301693,2012-09-29T12:00:00"
273,"33.772075,-117.301693,2012-09-30T12:00:00"
274,"33.772075,-117.301693,2012-10-01T12:00:00"
275,"33.772075,-117.301693,2012-10-02T12:00:00"
276,"33.772075,-117.301693,2012-10-03T12:00:00"
277,"33.772075,-117.301693,2012-10-04T12:00:00"
278,"33.772075,-117.301693,2012-10-05T12:00:00"
279,"33.772075,-117.301693,2012-10-06T12:00:00"
280,"33.772075,-117.301693,2012-10-07T12:00:00"
281,"33.772075,-117.301693,2012-10-08T12:00:00"
282,"33.772075,-117.301693,2012-10-09T12:00:00"
283,"33.772075,-117.301693,2012-10-10T12:00:00"
284,"33.772075,-117.301693,2012-10-11T12:00:00"
285,"33.772075,-117.301693,2012-10-12T12:00:00"
286,"33.772075,-117.301693,2012-10-13T12:00:00"
287,"33.772075,-117.301693,2012-10-14T12:00:00"
288,"33.772075,-117.301693,2012-10-15T12:00:00"
289,"33.772075,-117.301693,2012-10-16T12:00:00"
290,"33.772075,-117.301693,2012-10-17T12:00:00"
291,"33.772075,-117.301693,2012-10-18T12:00:00"
292,"33.772075,-117.301693,2012-10-19T12:00:00"
293,"33.772075,-117.301693,2012-10-20T12:00:00"
294,"33.772075,-117.301693,2012-10-21T12:00:00"
295,"33.772075,-117.301693,2012-10-22T12:00:00"
296,"33.772075,-117.301693,2012-10-23T12:00:00"
297,"33.772075,-117.301693,2012-10-24T12:00:00"
298,"33.772075,-117.301693,2012-10-25T12:00:00"
299,"33.772075,-117.301693,2012-10-26T12:00:00"
300,"33.772075,-117.301693,2012-10-27T12:00:00"
301,"33.772075,-117.301693,2012-10-28T12:00:00"
302,"33.772075,-117.301693,2012-10-29T12:00:00"
303,"33.772075,-117.301693,2012-10-30T12:00:00"
304,"33.772075,-117.301693,2012-10-31T12:00:00"
305,"33.772075,-117.301693,2012-11-01T12:00:00"
306,"33.772075,-117.301693,2012-11-02T12:00:00"
307,"33.772075,-117.301693,2012-11-03T12:00:00"
308,"33.772075,-117.301693,2012-11-04T12:00:00"
309,"33.772075,-117.301693,2012-11-05T12:00:00"
310,"33.772075,-117.301693,2012-11-06T12:00:00"
311,"33.772075,-117.301693,2012-11-07T12:00:00"
312,"33.772075,-117.301693,2012-11-08T12:00:00"
313,"33.772075,-117.301693,2012-11-09T12:00:00"
314,"33.772075,-117.301693,2012-11-10T12:00:00"
315,"33.772075,-117.301693,2012-11-11T12:00:00"
316,"33.772075,-117.301693,2012-11-12T12:00:00"
317,"33.772075,-117.301693,2012-11-13T12:00:00"
318,"33.772075,-117.301693,2012-11-14T12:00:00"
319,"33.772075,-117.301693,2012-11-15T12:00:00"
320,"33.772075,-117.301693,2012-11-16T12:00:00"
321,"33.772075,-117.301693,2012-11-17T12:00:00"
322,"33.772075,-117.301693,2012-11-18T12:00:00"
323,"33.772075,-117.301693,2012-11-19T12:00:00"
324,"33.772075,-117.301693,2012-11-20T12:00:00"
325,"33.772075,-117.301693,2012-11-21T12:00:00"
326,"33.772075,-117.301693,2012-11-22T12:00:00"
327,"33.772075,-117.301693,2012-11-23T12:00:00"
328,"33.772075,-117.301693,2012-11-24T12:00:00"
329,"33.772075,-117.301693,2012-11-25T12:00:00"
330,"33.772075,-117.301693,2012-11-26T12:00:00"
331,"33.772075,-117.301693,2012-11-27T12:00:00"
332,"33.772075,-117.301693,2012-11-28T12:00:00"
333,"33.772075,-117.301693,2012-11-29T12:00:00"
334,"33.772075,-117.301693,2012-11-30T12:00:00"
