,index,latlngtime,areacode,tggl,weather
23183,23183,"33.835541,-117.664297,2015-06-13T12:00:00",13,13/6/2015,Partly cloudy until afternoon.
23184,23184,"33.835541,-117.664297,2015-06-14T12:00:00",13,14/6/2015,Clear throughout the day.
23185,23185,"33.835541,-117.664297,2015-06-15T12:00:00",13,15/6/2015,Clear throughout the day.
23186,23186,"33.835541,-117.664297,2015-06-16T12:00:00",13,16/6/2015,Clear throughout the day.
23187,23187,"33.835541,-117.664297,2015-06-17T12:00:00",13,17/6/2015,Clear throughout the day.
23188,23188,"33.835541,-117.664297,2015-06-18T12:00:00",13,18/6/2015,Clear throughout the day.
23189,23189,"33.835541,-117.664297,2015-06-19T12:00:00",13,19/6/2015,Dry throughout the day.
23190,23190,"33.835541,-117.664297,2015-06-20T12:00:00",13,20/6/2015,Clear throughout the day.
23191,23191,"33.835541,-117.664297,2015-06-21T12:00:00",13,21/6/2015,Clear throughout the day.
23192,23192,"33.835541,-117.664297,2015-06-22T12:00:00",13,22/6/2015,Clear throughout the day.
23193,23193,"33.835541,-117.664297,2015-06-23T12:00:00",13,23/6/2015,Clear throughout the day.
23194,23194,"33.835541,-117.664297,2015-06-24T12:00:00",13,24/6/2015,Clear throughout the day.
23195,23195,"33.835541,-117.664297,2015-06-25T12:00:00",13,25/6/2015,Clear throughout the day.
23196,23196,"33.835541,-117.664297,2015-06-26T12:00:00",13,26/6/2015,Clear throughout the day.
23197,23197,"33.835541,-117.664297,2015-06-27T12:00:00",13,27/6/2015,Clear throughout the day.
23198,23198,"33.835541,-117.664297,2015-06-28T12:00:00",13,28/6/2015,Clear throughout the day.
23199,23199,"33.835541,-117.664297,2015-06-29T12:00:00",13,29/6/2015,Clear throughout the day.
23200,23200,"33.835541,-117.664297,2015-06-30T12:00:00",13,30/6/2015,Clear throughout the day.
23201,23201,"33.835541,-117.664297,2015-07-01T12:00:00",13,1/7/2015,Clear throughout the day.
23202,23202,"33.835541,-117.664297,2015-07-02T12:00:00",13,2/7/2015,Clear throughout the day.
23203,23203,"33.835541,-117.664297,2015-07-03T12:00:00",13,3/7/2015,Clear throughout the day.
23204,23204,"33.835541,-117.664297,2015-07-04T12:00:00",13,4/7/2015,Clear throughout the day.
23205,23205,"33.835541,-117.664297,2015-07-05T12:00:00",13,5/7/2015,Partly cloudy overnight.
23206,23206,"33.835541,-117.664297,2015-07-06T12:00:00",13,6/7/2015,Partly cloudy until afternoon.
23207,23207,"33.835541,-117.664297,2015-07-07T12:00:00",13,7/7/2015,Partly cloudy overnight.
23208,23208,"33.835541,-117.664297,2015-07-08T12:00:00",13,8/7/2015,Partly cloudy in the morning.
23209,23209,"33.835541,-117.664297,2015-07-09T12:00:00",13,9/7/2015,Partly cloudy in the morning.
23210,23210,"33.835541,-117.664297,2015-07-10T12:00:00",13,10/7/2015,Partly cloudy until afternoon.
23211,23211,"33.835541,-117.664297,2015-07-11T12:00:00",13,11/7/2015,Clear throughout the day.
23212,23212,"33.835541,-117.664297,2015-07-12T12:00:00",13,12/7/2015,Clear throughout the day.
23213,23213,"33.835541,-117.664297,2015-07-13T12:00:00",13,13/7/2015,Clear throughout the day.
23214,23214,"33.835541,-117.664297,2015-07-14T12:00:00",13,14/7/2015,Clear throughout the day.
23215,23215,"33.835541,-117.664297,2015-07-15T12:00:00",13,15/7/2015,Partly cloudy in the morning.
23216,23216,"33.835541,-117.664297,2015-07-16T12:00:00",13,16/7/2015,Partly cloudy in the morning.
23217,23217,"33.835541,-117.664297,2015-07-17T12:00:00",13,17/7/2015,Clear throughout the day.
23218,23218,"33.835541,-117.664297,2015-07-18T12:00:00",13,18/7/2015,Rain starting in the afternoon.
23219,23219,"33.835541,-117.664297,2015-07-19T12:00:00",13,19/7/2015,Heavy rain starting in the afternoon.
23220,23220,"33.835541,-117.664297,2015-07-20T12:00:00",13,20/7/2015,Partly cloudy until afternoon.
23221,23221,"33.835541,-117.664297,2015-07-21T12:00:00",13,21/7/2015,Drizzle in the afternoon.
23222,23222,"33.835541,-117.664297,2015-07-22T12:00:00",13,22/7/2015,Partly cloudy until afternoon.
23223,23223,"33.835541,-117.664297,2015-07-23T12:00:00",13,23/7/2015,Clear throughout the day.
23224,23224,"33.835541,-117.664297,2015-07-24T12:00:00",13,24/7/2015,Clear throughout the day.
23225,23225,"33.835541,-117.664297,2015-07-25T12:00:00",13,25/7/2015,Clear throughout the day.
23226,23226,"33.835541,-117.664297,2015-07-26T12:00:00",13,26/7/2015,Clear throughout the day.
23227,23227,"33.835541,-117.664297,2015-07-27T12:00:00",13,27/7/2015,Partly cloudy in the morning.
23228,23228,"33.835541,-117.664297,2015-07-28T12:00:00",13,28/7/2015,Clear throughout the day.
23229,23229,"33.835541,-117.664297,2015-07-29T12:00:00",13,29/7/2015,Clear throughout the day.
23230,23230,"33.835541,-117.664297,2015-07-30T12:00:00",13,30/7/2015,Clear throughout the day.
23231,23231,"33.835541,-117.664297,2015-07-31T12:00:00",13,31/7/2015,Clear throughout the day.
23232,23232,"33.835541,-117.664297,2015-08-01T12:00:00",13,1/8/2015,Partly cloudy in the morning.
23233,23233,"33.835541,-117.664297,2015-08-02T12:00:00",13,2/8/2015,Clear throughout the day.
23234,23234,"33.835541,-117.664297,2015-08-03T12:00:00",13,3/8/2015,Clear throughout the day.
23235,23235,"33.835541,-117.664297,2015-08-04T12:00:00",13,4/8/2015,Clear throughout the day.
23236,23236,"33.835541,-117.664297,2015-08-05T12:00:00",13,5/8/2015,Dry throughout the day.
23237,23237,"33.835541,-117.664297,2015-08-06T12:00:00",13,6/8/2015,Clear throughout the day.
23238,23238,"33.835541,-117.664297,2015-08-07T12:00:00",13,7/8/2015,Clear throughout the day.
23239,23239,"33.835541,-117.664297,2015-08-08T12:00:00",13,8/8/2015,Clear throughout the day.
23240,23240,"33.835541,-117.664297,2015-08-09T12:00:00",13,9/8/2015,Clear throughout the day.
23241,23241,"33.835541,-117.664297,2015-08-10T12:00:00",13,10/8/2015,Clear throughout the day.
23242,23242,"33.835541,-117.664297,2015-08-11T12:00:00",13,11/8/2015,Clear throughout the day.
23243,23243,"33.835541,-117.664297,2015-08-12T12:00:00",13,12/8/2015,Clear throughout the day.
23244,23244,"33.835541,-117.664297,2015-08-13T12:00:00",13,13/8/2015,Dry throughout the day.
23245,23245,"33.835541,-117.664297,2015-08-14T12:00:00",13,14/8/2015,Dry throughout the day.
23246,23246,"33.835541,-117.664297,2015-08-15T12:00:00",13,15/8/2015,Dry throughout the day and partly cloudy starting in the evening.
23247,23247,"33.835541,-117.664297,2015-08-16T12:00:00",13,16/8/2015,Dry throughout the day.
23248,23248,"33.835541,-117.664297,2015-08-17T12:00:00",13,17/8/2015,Clear throughout the day.
23249,23249,"33.835541,-117.664297,2015-08-18T12:00:00",13,18/8/2015,Clear throughout the day.
23250,23250,"33.835541,-117.664297,2015-08-19T12:00:00",13,19/8/2015,Clear throughout the day.
23251,23251,"33.835541,-117.664297,2015-08-20T12:00:00",13,20/8/2015,Clear throughout the day.
23252,23252,"33.835541,-117.664297,2015-08-21T12:00:00",13,21/8/2015,Partly cloudy in the morning.
23253,23253,"33.835541,-117.664297,2015-08-22T12:00:00",13,22/8/2015,Partly cloudy in the morning.
23254,23254,"33.835541,-117.664297,2015-08-23T12:00:00",13,23/8/2015,Clear throughout the day.
23255,23255,"33.835541,-117.664297,2015-08-24T12:00:00",13,24/8/2015,Clear throughout the day.
23256,23256,"33.835541,-117.664297,2015-08-25T12:00:00",13,25/8/2015,Clear throughout the day.
23257,23257,"33.835541,-117.664297,2015-08-26T12:00:00",13,26/8/2015,Clear throughout the day.
23258,23258,"33.835541,-117.664297,2015-08-27T12:00:00",13,27/8/2015,Clear throughout the day.
23259,23259,"33.835541,-117.664297,2015-08-28T12:00:00",13,28/8/2015,Clear throughout the day.
23260,23260,"33.835541,-117.664297,2015-08-29T12:00:00",13,29/8/2015,Clear throughout the day.
23261,23261,"33.835541,-117.664297,2015-08-30T12:00:00",13,30/8/2015,Clear throughout the day.
23262,23262,"33.835541,-117.664297,2015-08-31T12:00:00",13,31/8/2015,Clear throughout the day.
23263,23263,"33.835541,-117.664297,2015-09-01T12:00:00",13,1/9/2015,Partly cloudy in the morning.
23264,23264,"33.835541,-117.664297,2015-09-02T12:00:00",13,2/9/2015,Partly cloudy in the morning.
23265,23265,"33.835541,-117.664297,2015-09-03T12:00:00",13,3/9/2015,Clear throughout the day.
23266,23266,"33.835541,-117.664297,2015-09-04T12:00:00",13,4/9/2015,Clear throughout the day.
23267,23267,"33.835541,-117.664297,2015-09-05T12:00:00",13,5/9/2015,Clear throughout the day.
23268,23268,"33.835541,-117.664297,2015-09-06T12:00:00",13,6/9/2015,Clear throughout the day.
